id,text,url,HS,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
27,"Gue habis nonton clip di Instagram, gue kira si Bintang Emon gimmick tapi kayaknya enggak, kelihatan banget risihnya si Bintang pas dia teriak-teriak cuman bercanda dan juga gue pernah nonton podcast bang Radit sama si Niceguymo ini yang gak nice guy sama sekali. Dia orang bermasalah dari masa lalunya yang pernah jadi orang kaya, dan ya dia tipe anak mami, tipe pembully gue kira dia udah berubah karena di podcast bang Radit dia ngomong kayak orang bener aja, ternyata kagak.
Tipe orang yang pasti bakal gue jauhin sih, najis banget dan anehnya kenapa pula ada orang yang ngefans bahkan nyawer ke dia.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
28,Nongkrong ma yg model bgini gak asik banget ..,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
29,"Bolak balik bilang ga enak, tapi ngomongnya nyinggung perasaan. Emosinya labil. Beneran bocah banget. Loe bilang gimick dengan ngomong kasar, nyinggung perasaan, ga menghargai pendapat orang, hanya utk narik penonton. Gila bnget.. ga ngehargain bintang banget",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
30,Anjink sakit nih orang,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
31,Sabar Banget bintang Emon disini sumpah 😢,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
32,kacau ni org😂,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
33,"Aneh ni anak, dia yg ngundang, dia yg validasi",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
34,Bang emon orang pinter ko mau maen sama orang gini,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
35,Manusia ga punya etika,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
36,Anakna kaya gini ibunya malu gk sih...?😮,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
37,"ini orang yang ngatain surabaya kota ter L.?, 
(bertanya dengan nada sopan)",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
38,Berkepribadian ganda,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
39,Dia ngundang bintang emon ternyata cuman biar dapet saweran doang. Gak ngehargain bintang tamu banget,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
40,Sumpah aneh ni orang,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
41,Gilani wong iki 😂😂,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
42,"Ini ngontenin apasih, gajelass, gimick darimana,,,,,",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
43,Kepribadian ganda bahaya nauzubillah,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
44,"Kesimpulanya, Kata2nya ngrendahin Dan sombong. Juga pengen semua orang Harus sesuai dengan pemikiran dia.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
45,"Namanya jusa bocah iya in aja biar seneng,, bgini kpw lgi masa pertumbuhan mah mklumin aja",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
46,salut bnget bintang emon kerennn bisa bangettt nahan emosii nya,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
47,"Lebih sulit ? Iya, bener.

Attitude lo Big Mo lebih sulit ! butuh bantuan profesional. 

Sakit lo beneran.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
48,Gak bisa joks,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
49,Balmod omongan tinggi bener,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
50,Orang kalo lahir udah kaya dan pergaulan yg mikirnya masa depan yg jauh pasti gk bakal paham sisi orang susah....cuma buat bisa makan besok aja itu mikir gimananya sampe pusing....intinya orang susah sama orang kaya kalo masi di umur remaja gk bakal nyambung udah titik....kalo udah pernah sama sama merasakan baru bisa nyambung,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
51,"Kalau ada yg bilang bintang emon gimick tidak ya, karena bintang emon tidak pernah suka gimick selama saya ngikutin postingan nya.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
52,"Kayaknya sakit tu orang.,,
Tingkahnya aneh.,,,
😅",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
53,Lah inimah cuma gimmick doang buat narikin traffic,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
54,Minimal maaf,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
55,Dia itu ada gangguan mental atau gimana sih?,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,1,0,0,1,1,1
56,"Temennya juga parah
Cengengesan
Bilang gaenak tapi expresinya kek gitu 
Parah kalian",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
57,Suara nya kyak speaker rusak,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
58,"GAK ADA ATTITUDE SI BIGMO.. SO ASIK, GAK AKAN BERTAHAN LAMA MODEL GINI.. PALING LAMA TAUN DEPAN JUGA TENGGELAM !!! LIAT AJA",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
59,Epek orang make garam cina yagini bnyak omong seseolah paling pinter dikit2 haus emosi nya gk setabil.,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,1,0,1,0,0,0,0,1,0
60,"Bener sakit, orng gk nyaman mau pergi juga di kunci kayak di sekap, ni bintang jga kbngetan sbarnya harusnya perkaraain",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
61,Sorry nanya. Ini yg bapaknya kasus korupsi bukan?,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
62,"Kaya ada gangguan mental ni anak berbadan besar, perlu diperiksa dia ini",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
63,"Bahaya ni orang, yg gue liat ada sedikit pemaksaan dan pengancaman, narik paksa hp dan ngunci ruangan, bahaya nih orang... Ego nya gila",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
64,"Impulsif.... Paranoid.... Lose controll....
NPD kebablasan....!",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
65,"Tah1 amat itu orang... Orang ga pernah susah banyak banget b4c0tnya. Gw alhamdulillah bukan latar belakang orang susah, tapi SMP gw pernah sekolah di sekolah orang-orang yang susah... Tawuran SMP melawan SMA SMK itu udah hal biasa; anak SMP usia 17th karena ga naik mulu, anak SMP yg DO karena gabisa bayar sekolah, L0nT, Nark0, m4b0k di kelas, c0l1 di kelas, bahkan ada yg den9an bodohnya anak SMP gw bunu anak SMP lain di sekolahnya yg gak lagi tawuran pake Katana. Ya doi DO, dipenjara. Jadi intinya kondisi SMP gw itu keras. Gw paham dimata anak2 seperti itu, banyak yang gabisa mikir panjang. Bukannya si Sh1tboyMo ini bisa ngerti, tapi dia malah maksain pandangan dia ke kondisi orang2 yang susah. ITU T0L0L.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
66,Dia ga nyambung,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
67,Dia bilang mimpinya jauh dan seperti mengecilkan mimpi orang lain yg dia anggap kecil tp kenapa dia tdk berkarir keluar disana kejar industri industri besar itu?,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
68,"Baperan amat si yang nonton .. itu jelas bgt mereka deket bgt , ngobrol tongkrongan ya begini 😅",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
69,Tapi kocak si si bigmo .. ceplas ceplos .. 😂,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,0,1,0
70,Lihat nya aja aneh w😅 sama orang ini,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
71,"1 kata buat lo ndut,pantek",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,1,0,1,1,0,0
72,Bigmo ni harus dibawa ke RSJ sii,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
73,"Punya temej kaysk gini 
Sumpah deh ngeri",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
74,Stress kali nih 2 orang,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
75,Perlu tes urin ni,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
76,"Wajib di Black list ni Chanel Podcastnya.
Yg setuju acungkan jempolnya.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
77,"bigmo, ga semua konsep kebahagiaan se cemerlang dan setinggi konsep berpikir lu. klo lu rasa uang can buy hapiness then go on. but banyak kaya, in the end they go suicide. hidup bukan ngejar uang. uang adalah alat tukar, bukan alat simpan. uang yang banyak klo ga dijadikan alat untuk kebermanfaatan someday akan jadi peluru yang justru membunuh diri lo sendiri. udah banyak penelitiannya di psikologi. manusia sehat mental bukan manusia yg selalu dapat apapun yang dia mau, tapi yang mencapai titik flourish dan disetiap sikapnya ada dampak positif ke orang lain. gw ga nyalahin lo punya pemikiran itu, its your choice. but its totally keliru. itulah yang kapitalis inginkan untuk membentuk anak muda jaman sekarang. they only focus on money dan gimana mememnuhi isi perutnya sendiri. tanpa tau bahwa sebenarnya manusia itu khalifah dan Allah sebaik2 pencipta yang mengininkan kita memaksimalkan potensi kita justru demi kemakmuran negeri dan lingkungannya. uang yang lo cari, ketika lo udah sampai di titik smua nya, lo punya segalanya yang lo mau, it will never ending. lo akan tetap haus dan haus. itu udah masuk ke dark triad psychology : which is kerakusan. pls temen2 yang masih muda, baca ayat suci lo. iqra. baca karya ilmiah, baca buku, belajar yang bener. jangan kebawa arus. uang adalah alat bukan tujuan.",0,0,0,0,0,0,0,0,0,0,0,0
78,"Aq cari tau siapa dy ini, krn tb2 naik podcast densu dan dimna2 isi komennya menghujat ini org, nemu konten ini dan aq nonton, cm utk caritau gmn sih model kontennya.. eeeh ternyata ANJING bget mmg.. bner udh si bintang milih WO, drpd ngeladeni dy bkin kita sakit jiwa, dan akhirnya aq nemuin kesimpulan yg sama dgn skian byk konten, ni org mmg harus dikasih pelajaran!!!!",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
79,Boycott bigmo,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
80,Bintang emon ganteng dan tenang bgt ya,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
81,Ilfill bgt liat cowo kek big mo,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
82,Liat big mo kasian sih bukan takjub..,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
83,"Siapa yg bilang ""elu knp nampol ge dah?""",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
84,"gilak bang, tembus 100rebuu bang windoww",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
85,Menurutku bigmo sih acting dia macak nyebelin sok tinggi tp itu brandingnya buat naik sih kataku.. semngat sih cuma kasian aja liatnya😊,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
86,Sd amerika. Gambaran gedenya ryu sih😅,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
87,astaga.. si tai ni 11-12 kek bahlil cs..,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
88,Pro emon gua😅,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
89,Ohhh ini yak orang yang KEIMANANNYA MURAHAN ya?..,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,1,0,0,0,1,1,0,0
90,Freak ajg,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
91,"Boleh tes kejiwaan nih, agak lain sih cara nanggepin sesuatunya.",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
92,"Kaya orang sakit ya
G nyaman dengerin dia ngomong",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
93,"Ingat ap yg kau punya buka punya kau orang tua kau yg punya, jgan terlalu sok kau boy",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
94,Jabingan banget sih sih kacamata..knpa Bintang Emon kasih kesempatan buat org macam ini?,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,0,0,1,1,0,0
95,"Ngundang orang klo cuma untuk ngerendahin orang itu,, janganya dek ya..",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
96,"dari tampangnya juga uda keliatan bloon sih, tipe2 yg mau ngelakuin apa aja demi duit",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
97,Sakit jiwa ini anak,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
98,Itu yg pake kacamata siapa? So tau amat anjirrr 😂😂😂,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,1,0,1,1,0,0
99,Kacamata ni ke Tai,https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,1,1,0,0,0,1,0,1,1,0,0
100,"waduh gw yang nonton ko engap ya ga nyaman banget. mau ngungkapin, cerita langsung ditentang dipotong 😢",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME,0,0,0,0,0,0,0,0,0,0,0
101,"Kalau orang kaya yg lapor cepat banget loe tanggapin SU, coba kl Rakyat yg lapor,,,, ada aja kendala nya",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
102,😂😂😂😂 juur saya ini senang sekali gembira malah hahaha,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
103,"Pengecut,dia yg bikin onar.dia malah kabur dari tanggung jawab",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
104,ah parat bisa main kami tak terlalu percaya sama oknum oknum,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
105,rakyat dukung Herwanto maju terus pak Herwanto,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
106,Andaikan di Indonesia ada hukum mati kayanya Indonesia negara paling sejahtera,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
107,Sahroni phing Priuk,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
108,"dialah peyebab kejadian yg menimpa pada dirinya sendiri.kenapa orang lain yg di salahkan.
TUHAN itu maha adil.",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
109,😂😂😂😂😂😂😂😂😂😂😂😂  EMANG ENAAAKKK,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
110,Saroni. Sudah tau. Salah. Malah. Kabur. Bersama. Keluarganya. Ketika. Masyarakat. Marah. Mengobrak. Abrik. Rumah. Nya. Eh...malah. membuat. Laporan. Ke. Pihak. Yg. Berwajib. Bahwa. Barangnya. Di. Jarah. Masyarakat. Padahal. Barang2. Itu. Hasil. Dari. Uang. Rakyat. Juga.,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
111,"masyarakat sudah terlalu sakit,wajarlah diamuk massa,sukurin",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,0,1,0,0,0,0,1,0,1,0
112,Masih untung cuma barang nya coba kalau orangnya  ada dirumah wah sudah dehh alamat,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
113,Tangkap sahroni lah.. Kok. Ngeburu rakyat.. 😂😂😂 harusnya cari simpati ke rakyat.. Malah bikin makin kesal.. 😂😂😂😂,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,0,0,1
114,"Kenapa Saroni mintak maaf, sudah terlanjur busuk kok mintak maaf",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
115,Halo bos namamya rakyat itu tidak ada pidana .kamu harus paham,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
116,"Uang rakyat yg di pake hidup glamor kok ga malu ya,,,,kalo hidupnya kaya dari hasil bisnis uang sendiri bolehlah blagu",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
117,"pendemo bisa diringkus dengan hitungan sangat cepat,,,lalu,kenapa syah roni tidakbisa ditemukan,dan kenapa syah roni beserta keluarganya bisa lolos keluar negri,,,logikanya,,,,,",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
118,org munafik akan di jatuhkan dan permalukan 😅,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
119,ahmad syahroni sudah tidak ada Taring nya😂😂😂,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
120,Heeeeebohong wang rakyatu,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
121,Uwang rakyat tu,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
122,RAKYAT MATI MATIAN CARI DUIT HANYA DIKORUPSI,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,0,1,0,0,0,0,1,0,1,0
123,"Kira kira rakyat bergabung berani gak ya kalo jarah rumah polisi ?🤔
Kayaknya pada gak berani deh soalnya takut polisinya sudah punya robot remot nanti di jedor",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
124,"Tinggal yg menemukan plasdisk putih punya sahroni, tinggal di bawa ke kepolisian.karna dia seorang pejabat korupsi.",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
125,"Sahroni buronan yg lagi di tunggu sama rakyat, awas kau sahroni sampai muncul di indonesia ,tunggu kau,",https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,1,1,0,0,0,0,0,1,1,0,0
126,Silfester masih di luar Inkrah sudah ditetapkan  ada apa hukum disana,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG,0,0,0,0,0,0,0,0,0,0,0
