No.,text,sumber
24,"Besar apanya ? Besar bohongnya ??? Ya kristen lah jawabannya, hahahahahahha, bukalah Bible anda, ada RATUSAN ayat KONTRADIKSI !",https://youtu.be/EGHl0D-YvDc?si=53ax6HK1k_Zj3Uw7
25,Rakyat setuju dgn keputusan pak purbaya...,https://youtu.be/jOVLV68kyjg?si=Eff1TxN3qu56UM0o
26,"Biarin ajalah bang dia menghina komunitas2 apapun. makin kesini dia akan redup dengan sendirinya oleh perbuatannya sendiri.
Kalau pun ada pemujanya datang membelanya yah sudah. biarin aja. 
Yang terpenting untuk kalian. pandai2lah memilah informasi, jangan gampang terpengaruh, selamatin hidup kalian dan keluarga kalian masing2. dan selalu berpikir kritis.",https://youtu.be/mMFL1P6o3Aw?si=GVMy8vXp6xXB6shC
27,Semoga cepet dapat ajab ya allah,https://youtu.be/sWsDZtCY-dc?si=o3NfvwXAHHTeEHmi
28,"Mayoritas rakyat Indonesia mendukung, lanjutkan pak Purbaya, didik para pejabat tau diri, ajar menghemat",https://youtu.be/3AY5vAbmuMY?si=Q0xycAzAAe0KpJQZ
29,Tangkap sahroni lah.. Kok. Ngeburu rakyat.. 😂😂😂 harusnya cari simpati ke rakyat.. Malah bikin makin kesal.. 😂😂😂😂,https://youtu.be/zqH6PZhTRcE?si=WxGsUlmvxxfykhWG
30,"Terus suarakan kejujuran, kebenaran dan keadilan Prof. DR Mahfud MD",https://youtu.be/LvItOM5KfzU?si=IXnlfvPQTKLHHLLp
31,Norak banget,https://www.youtube.com/watch?si=_ICY5zDeiXJ4gqME&v=HiTNW0U9ywg&feature=youtu.be
32,"GAK ADA ATTITUDE SI BIGMO.. SO ASIK, GAK AKAN BERTAHAN LAMA MODEL GINI.. PALING LAMA TAUN DEPAN JUGA TENGGELAM !!! LIAT AJA",https://youtu.be/HiTNW0U9ywg?si=_ICY5zDeiXJ4gqME
33,Bubarkan dpr,https://youtu.be/3g6juOekPY0?si=98rN9Ro5JuDr8yHL
34,sehat sehat bang Ferry,https://youtu.be/jq7zj8jJFso?si=ttxcZ6sB9640tlej
35,Gilani wong iki 😂😂,https://www.youtube.com/watch?si=_ICY5zDeiXJ4gqME&v=HiTNW0U9ywg&feature=youtu.be
36,😂😂😂 ini baru keadilan,https://www.youtube.com/watch?si=98rN9Ro5JuDr8yHL&v=3g6juOekPY0&feature=youtu.be
37,"dia bilang orang tolol sedunia, dia saja ijazahnya rata rata nilainya 6🤣. rumahnya udah dijarah,🤣",https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6
38,BOTI banyak gaya si Sahroni,https://youtu.be/1PToDAUKA3E?si=bfT92NkiXfsjZgM6
39,Terbaik rakyat indonasia manuntut kedilan ❤❤❤❤❤❤❤❤❤❤❤❤❤❤,https://youtu.be/aFx3uoYCC3w?si=NZAhJcoW_jpS1asi
40,😭 indonesia udah gak aman,https://youtu.be/h2yvge1tHKg?si=L_f_rzchF1BK0Q2i
41,"Jenius sekali idenya, pasti bakal maju banget negaranya kalau semua orang mikir kayak gitu.",
42,"Aktingnya kaku banget kayak kanebo kering, sutradaranya kenapa milih dia sih?",
43,Emang perempuan selalu harus selemah itu ya kalau ngambil keputusan?,
44,"Sok pinter lu, gblk. Mending diem aja g usah bct.",
45,"Muka lu jlk bgt anjg, ga pantes msk tipi.",
46,Babi nya lucu bgtt,
47,Orang kyk lu tuh ga pantes idup. Mending ilang aja dr bumi.,
48,"Dsr cina pelit, itungannya ga prnh mleset klo soal duit.",
49,"Agama lu aneh bgt, ajarannya gblk smua.",
50,"Kaum pelangi smpah masyarakat, bikin rusak generasi muda aja. Bantai smua!",
